Name,AC,Alignment,CR,Current HP,Damage,Environment,Hit Points,Initiative,Initiative Roll,Legendary,Page Number,Size,Source,Speed (ft),Type
Quickstep,16,,5,49,,,49,4,14,,308,,Creature Codex,,Fey
Onyx Magistrate,16,,8,123,,,123,0,10,,276,,Tome of Beasts 2,,Construct
Ice Worm,18,,15,247,,,247,-1,9,,365,,A5e Monstrous Menagerie,,Monstrosity
Death Shroud Golem,12,,5,95,,,95,2,12,,179,,Tome of Beasts 2,,Construct
Elemental Locus,16,,17,290,,,290,-5,5,,169,,Tome of Beasts,,Elemental
Giant Husk,9,,7,76,,,76,-1,9,,393,,Tome of Beasts 2,,Undead
Lemurfolk,13,,0.25,14,,,14,2,12,,271,,Tome of Beasts,,Humanoid
"Dragon, Sand Wyrmling",18,,3,52,,,52,1,11,,147,,Tome of Beasts 3,,Dragon
Alazai,16,,10,149,,,149,2,12,,15,,Tome of Beasts 3,,Elemental
"Derro, Voidwarped",14,,6,120,,,120,4,14,,114,,Tome of Beasts 3,,Humanoid
Grimmlet Swarm,15,,14,152,,,152,1,11,,187,,Tome of Beasts 2,,Monstrosity
High Elf Noble,15,,0.25,13,,,13,1,11,,485,,A5e Monstrous Menagerie,,Humanoid
Giant Shark Bowl,6,,8,172,,,172,-4,6,,284,,Creature Codex,,Ooze
Garlicle,12,,1,31,,,31,2,12,,162,,Tome of Beasts 2,,Plant
Gnoll Demonfang,15,,4,65,,,65,3,13,,247,,A5e Monstrous Menagerie,,Humanoid
Alnaar,17,,9,212,,,212,6,16,,82,,Creature Codex,,Fiend
Xhkarsh,19,,8,133,,,133,5,15,,412,,Tome of Beasts,,Aberration
Sandwyrm,15,,6,142,,,142,1,11,,334,,Tome of Beasts,,Dragon
Clockwork Armadillo,14,,0.25,22,,,22,4,14,,86,,Tome of Beasts 3,,Construct
Vexxeh,15,,6,94,,,94,1,11,,360,,Tome of Beasts 2,,Fiend
Vangsluagh,13,,4,85,,,85,3,13,,359,,Tome of Beasts 2,,Aberration
Puffinfolk,15,,0.5,22,,,22,4,14,,322,,Tome of Beasts 3,,Humanoid
Accursed Defiler,12,,4,75,,,75,2,12,,12,,Tome of Beasts,,Undead
Behir,17,,11,168,,,168,3,13,,25,,5e SRD,,Monstrosity
Young Red Dragon,18,,10,178,,,178,0,10,,98,,5e SRD,,Dragon
Derro Guard,13,,0.5,18,,,18,2,12,,97,,Tome of Beasts 2,,Humanoid
"Giant, Hellfire",16,,9,168,,,168,2,12,,203,,Tome of Beasts 3,,Giant
Lunarian,16,,5,97,,,97,2,12,,245,,Tome of Beasts 2,,Fey
Young Emerald Dragon,17,,9,133,,,133,4,14,,146,,A5e Monstrous Menagerie,,Dragon
Adult Red Dragon (+),19,,20,310,,,310,0,10,Legendary,118,,A5e Monstrous Menagerie,,Dragon
Rageipede,15,,2,55,,,55,2,12,,310,,Creature Codex,,Beast
Ravenfolk Doom Croaker,14,,5,88,,,88,2,12,,324,,Tome of Beasts,,Humanoid
Wood Elf Sharpshooter,16,,5,90,,,90,4,14,,491,,A5e Monstrous Menagerie,,Humanoid
Myling,13,,2,45,,,45,0,10,,301,,Tome of Beasts,,Undead
"Troll, Gutter",15,,4,75,,,75,3,13,,373,,Tome of Beasts 3,,Giant
Duskthorn Dryad,17,,3,77,,,77,5,15,,160,,Tome of Beasts,,Fey
"Ooze, Sinkhole",7,,4,108,,,108,-3,7,,309,,Tome of Beasts 3,,Ooze
Uridimmu,18,,14,150,,,150,3,13,,19,,Tome of Beasts 2,,Celestial
Scarecrow Harvester,14,,4,67,,,67,4,14,,383,,A5e Monstrous Menagerie,,Construct
Blackguard,18,,5,82,,,82,1,11,,475,,A5e Monstrous Menagerie,,Humanoid
Stirge,14,,0.125,2,,,2,3,13,,284,,5e SRD,,Beast
Clacking Skeleton,14,,2,45,,,45,1,11,,319,,Creature Codex,,Undead
Xecha,15,,6,133,,,133,3,13,,397,,Tome of Beasts 3,,Fiend
Miremal,13,,0.5,22,,,22,3,13,,292,,Tome of Beasts,,Fey
Npc: Fixer,13,,2,44,,,44,2,12,,407,,Tome of Beasts 3,,Humanoid
Blood Elemental,14,,5,95,,,95,1,11,,138,,Creature Codex,,Elemental
Narshark,14,,0.5,25,,,25,1,11,,266,,Tome of Beasts 2,,Monstrosity
Grolar Bear,14,,3,68,,,68,0,10,,222,,Tome of Beasts 3,,Beast
Warlords Ghost,13,,4,58,,,58,3,13,,30,,A5e Monstrous Menagerie,,Undead
Dire Owlbear,15,,5,102,,,102,1,11,,132,,Tome of Beasts 3,,Monstrosity
Dretch,11,,0.25,18,,,18,0,10,,57,,5e SRD,,Fiend
Scorpionfolk Imperator,15,,5,52,,,52,1,11,,385,,A5e Monstrous Menagerie,,Monstrosity
Chuhaister,16,,7,157,,,157,-1,9,,62,,Creature Codex,,Giant
Zimwi,17,,4,76,,,76,4,14,,415,,Tome of Beasts,,Giant
Pixiu,15,,6,112,,,112,2,12,,300,,Creature Codex,,Monstrosity
Mahoru,15,,3,91,,,91,4,14,,281,,Tome of Beasts,,Monstrosity
Corpse Mound,16,,11,207,,,207,0,10,,69,,Tome of Beasts,,Undead
Shadow Fey Forest Hunter,15,,5,104,,,104,4,14,,173,,Tome of Beasts,,Humanoid
Night Scorpion,14,,3,90,,,90,2,12,,340,,Tome of Beasts,,Beast
Aphasian Abomination,15,,10,170,,,170,5,15,,39,,Tome of Beasts 3,,Construct
Foxin,14,,0.5,16,,,16,3,13,,163,,Creature Codex,,Fey
Cave Giant,16,,10,200,,,200,0,10,,182,,Creature Codex,,Giant
Giant Shark,13,,5,126,,,126,0,10,,328,,5e SRD,,Beast
Azer Forgemaster,16,,4,78,,,78,2,12,,28,,A5e Monstrous Menagerie,,Elemental
"Drake, Riptide",17,,11,231,,,231,-1,9,,155,,Tome of Beasts 3,,Dragon
"Dawnfly, Desolation Nymph",13,,2,68,,,68,2,12,,105,,Tome of Beasts 3,,Beast
"Ettin, Kobold",12,,1,34,,,34,0,10,,173,,Tome of Beasts 3,,Giant
Carnivorous Sod,12,,1,33,,,33,-2,8,,57,,Tome of Beasts 2,,Plant
Hawk,13,,0,1,,,1,3,13,,330,,5e SRD,,Beast
Grimmlet,11,,1,28,,,28,1,11,,186,,Tome of Beasts 2,,Monstrosity
Gulon,14,,6,110,,,110,2,12,,212,,Creature Codex,,Monstrosity
Harpy,11,,1,38,,,38,1,11,,181,,5e SRD,,Monstrosity
Alpha Fish,13,,3,59,,,59,1,11,,14,,Tome of Beasts 2,,Beast
Air Elemental,15,,5,90,,,90,5,15,,124,,5e SRD,,Elemental
Bugbear Chief,15,,4,71,,,71,2,12,,38,,A5e Monstrous Menagerie,,Humanoid
Spinosaurus,15,,13,231,,,231,-1,9,Legendary,116,,Tome of Beasts,,Beast
Cryoceros,15,,6,133,,,133,0,10,,76,,Tome of Beasts 2,,Monstrosity
Giant Weasel,13,,0.125,9,,,9,3,13,,329,,5e SRD,,Beast
Swampgas Bubble,8,,2,59,,,59,-2,8,,343,,Tome of Beasts 2,,Ooze
Snatch Bat,16,,5,97,,,97,5,15,,349,,Tome of Beasts 3,,Aberration
Cavelight Moss,15,,4,95,,,95,0,10,,50,,Tome of Beasts,,Plant
Nyctli Swarm,14,,10,110,,,110,4,14,,271,,Tome of Beasts 2,,Fey
Sand Hag,17,,5,112,,,112,2,12,,245,,Tome of Beasts,,Monstrosity
"Ghoul, Darakhul EOTG",16,,3,78,,,78,3,13,,216,,Tome of Beasts,,Undead
Trollkin Shaman,14,,4,78,,,78,1,11,,357,,Creature Codex,,Humanoid
Kobold Sorcerer Dragon Servitor,12,,2,27,,,27,2,12,,298,,A5e Monstrous Menagerie,,Humanoid
Ogrepede,13,,6,142,,,142,-1,9,,275,,Tome of Beasts 2,,Undead
Yakirian,13,,2,67,,,67,0,10,,390,,Creature Codex,,Humanoid
Angel of Judgment,19,,18,229,,,229,4,14,,16,,Tome of Beasts 2,,Celestial
Brumalek,13,,0.5,40,,,40,3,13,,70,,Tome of Beasts 3,,Beast
Rime Worm Grub,13,,1,45,,,45,1,11,,327,,Tome of Beasts,,Elemental
Vine Drake,16,,7,105,,,105,2,12,,181,,Tome of Beasts 2,,Dragon
Ophinix,13,,2,60,,,60,3,13,,283,,Tome of Beasts 2,,Monstrosity
"Illhveli, Nauthveli",18,,16,280,,,280,0,10,,212,,Tome of Beasts 2,,Monstrosity
"Ogre, Alleybasher",13,,4,85,,,85,1,11,,297,,Tome of Beasts 3,,Giant
Octopus,12,,0,3,,,3,2,12,,333,,5e SRD,,Beast
Attercroppe,14,,0.5,21,,,21,4,14,,32,,Tome of Beasts 2,,Fey
Malakbel,14,,9,102,,,102,3,13,,78,,Tome of Beasts,,Fiend
Eater Of Dust (Yakat-Shi),17,,9,114,,,114,2,12,,164,,Tome of Beasts,,Aberration
Stuhac,18,,13,190,,,190,4,14,,370,,Tome of Beasts,,Fiend
Ghost,11,,4,45,,,45,1,11,,147,,5e SRD,,Undead
"Archon, Ursan",16,,9,142,,,142,2,12,,43,,Tome of Beasts 3,,Celestial
"Dragonette, Barnyard",13,,0.25,18,,,18,1,11,,148,,Tome of Beasts 3,,Dragon
Life Broker,16,,13,190,,,190,4,14,,261,,Tome of Beasts 3,,Fey
Young Shadow Dragon,17,,10,114,,,114,2,12,,137,,A5e Monstrous Menagerie,,Dragon
Drow,15,,0.25,13,,,13,2,12,,128,,5e SRD,,Humanoid
Tidehunter,15,,6,133,,,133,2,12,,348,,Tome of Beasts 2,,Monstrosity
Swarm of Beetles,12,,0.5,22,,,22,1,11,,337,,5e SRD,,Beast
Clockwork Huntsman,14,,3,110,,,110,2,12,,63,,Tome of Beasts,,Construct
Huli Jing,14,,9,130,,,130,4,14,,204,,Tome of Beasts 2,,Fey
Naina,17,,11,231,,,231,3,13,,302,,Tome of Beasts,,Dragon
Matriarch Serpentine Lamia,15,,5,90,,,90,3,13,,249,,Creature Codex,,Monstrosity
Sand Worm,18,,15,247,,,247,-1,9,,365,,A5e Monstrous Menagerie,,Monstrosity
Adult Wind Dragon,19,,17,237,,,237,4,14,Legendary,143,,Tome of Beasts,,Dragon
Ancient Emerald Dragon,20,,24,346,,,346,8,18,Legendary,144,,A5e Monstrous Menagerie,,Dragon
Roc Juvenile,14,,8,147,,,147,1,11,,459,,A5e Monstrous Menagerie,,Beast
Aboleth,17,,10,135,,,135,-1,9,Legendary,13,,5e SRD,,Aberration
Warmth Thief,16,,9,112,,,112,4,14,,366,,Tome of Beasts 2,,Fey
Yann-An-Oed,12,,2,47,,,47,0,10,,391,,Creature Codex,,Aberration
Diplodocus,14,,7,139,,,139,-1,9,,90,,A5e Monstrous Menagerie,,Beast
Greater Rakshasa,18,,15,144,,,144,4,14,Legendary,0,,Creature Codex,,Fiend
"Ghoul, Iron",16,,5,143,,,143,3,13,,220,,Tome of Beasts,,Undead
Climbing Vine,11,,0.125,13,,,13,-2,8,,85,,Tome of Beasts 3,,Plant
War Machine Golem,18,,18,232,,,232,-1,9,,205,,Creature Codex,,Construct
Clockwork Servant,11,,0.125,22,,,22,1,11,,65,,Creature Codex,,Construct
"Fungi, Mush Marcher",13,,3,85,,,85,1,11,,192,,Tome of Beasts 3,,Plant
Gray Thirster,13,,2,39,,,39,3,13,,238,,Tome of Beasts,,Undead
"Elemental, Rockslide",14,,8,147,,,147,-1,9,,168,,Tome of Beasts 3,,Elemental
Bone Swarm,17,,10,198,,,198,4,14,,41,,Tome of Beasts,,Undead
Lantern Beetle,13,,0,2,,,2,1,11,,392,,Tome of Beasts 2,,Beast
Lamia,13,,4,97,,,97,1,11,,201,,5e SRD,,Monstrosity
Alabaster Tree,18,,7,105,,,105,0,10,,302,,Creature Codex,,Celestial
Valkruung,13,,0.5,22,,,22,3,13,,355,,Tome of Beasts 2,,Monstrosity
"Angel, Chained",16,,8,88,,,88,3,13,,20,,Tome of Beasts,,Celestial
Orphan of the Black,13,,2,49,,,49,3,13,,286,,Tome of Beasts 2,,Fey
Killer Whale,12,,3,90,,,90,0,10,,331,,5e SRD,,Beast
Tatzelwurm,15,,6,120,,,120,2,12,Legendary,366,,Tome of Beasts 3,,Dragon
Red Dragon Wyrmling,17,,4,75,,,75,0,10,,98,,5e SRD,,Dragon
The Flesh,14,,4,78,,,78,2,12,,367,,Tome of Beasts 3,,Aberration
Púca,12,,7,142,,,142,2,12,,321,,Tome of Beasts 3,,Fey
Lemure Band,7,,2,67,,,67,-3,7,,86,,A5e Monstrous Menagerie,,Fiend
Rockwood,17,,6,94,,,94,-1,9,,334,,Tome of Beasts 3,,Elemental
Gnyan,14,,4,90,,,90,4,14,,210,,Tome of Beasts 3,,Elemental
Elder Black Pudding,7,,8,171,,,171,-3,7,,350,,A5e Monstrous Menagerie,,Ooze
Rat King,14,,5,76,,,76,3,13,,318,,Tome of Beasts,,Monstrosity
Crusher,20,,10,115,,,115,-1,9,,53,,A5e Monstrous Menagerie,,Construct
Iceworm,13,,1,38,,,38,3,13,,241,,Tome of Beasts 3,,Monstrosity
Yumerai,13,,2,65,,,65,3,13,,381,,Tome of Beasts 2,,Fey
Young Gold Dragon,18,,10,178,,,178,2,12,,115,,5e SRD,,Dragon
Bronze Golem,13,,3,57,,,57,-2,8,,201,,Creature Codex,,Construct
Manabane Scarab Swarm,15,,4,75,,,75,3,13,,374,,Tome of Beasts,,Beast
Bagiennik,15,,3,75,,,75,4,14,,31,,Tome of Beasts,,Aberration
Dorreq,15,,4,93,,,93,4,14,,124,,Tome of Beasts,,Aberration
Homunculus,13,,0,5,,,5,2,12,,188,,5e SRD,,Construct
Likho,15,,6,90,,,90,4,14,,275,,Tome of Beasts,,Monstrosity
Apprentice Mage,10,,0.5,11,,,11,0,10,,478,,A5e Monstrous Menagerie,,Humanoid
Ancient Red Dragon,22,,24,546,,,546,0,10,Legendary,97,,5e SRD,,Dragon
Ghoul Bat,13,,0.25,14,,,14,3,13,,391,,Tome of Beasts 2,,Undead
Archpriest,20,,16,150,,,150,0,10,,487,,A5e Monstrous Menagerie,,Humanoid
Shadow Fey Ambassador,16,,9,161,,,161,4,14,,145,,Creature Codex,,Humanoid
Brain Hood,13,,0.5,22,,,22,3,13,,50,,Tome of Beasts 2,,Aberration
Ghost Knight,17,,6,97,,,97,2,12,,423,,Tome of Beasts,,Undead
Bilwis,13,,1,49,,,49,3,13,,53,,Creature Codex,,Elemental
Gulper Behemoth,16,,9,188,,,188,0,10,,190,,Tome of Beasts 2,,Monstrosity
Simhamukha,16,,8,115,,,115,2,12,,70,,Creature Codex,,Celestial
Elephant,12,,4,76,,,76,-1,9,,322,,5e SRD,,Beast
Death Dog,12,,1,39,,,39,2,12,,321,,5e SRD,,Monstrosity
"Devil, Rimepacted",15,,6,91,,,91,1,11,,124,,Tome of Beasts 3,,Fiend
Clockwork Beetle,14,,0.5,15,,,15,3,13,,60,,Tome of Beasts,,Construct
Darakhul Spy,16,,5,91,,,91,4,14,,168,,Tome of Beasts 2,,Undead
Ogre Flesh Heap,11,,4,59,,,59,-2,8,,436,,A5e Monstrous Menagerie,,Undead
Clockwork Assassin,16,,6,99,,,99,3,13,,64,,Creature Codex,,Construct
Rusalka,14,,6,88,,,88,1,11,,331,,Tome of Beasts,,Undead
Berstuc,18,,11,157,,,157,0,10,,76,,Tome of Beasts,,Fiend
Quasit Familiar,13,,0.5,14,,,14,3,13,,74,,A5e Monstrous Menagerie,,Fiend
Young Flame Dragon,18,,9,161,,,161,2,12,,130,,Tome of Beasts,,Dragon
Flutterflesh,16,,12,187,,,187,4,14,,203,,Tome of Beasts,,Undead
Pyrrhic Podthrower,13,,7,127,,,127,4,14,,324,,Tome of Beasts 3,,Plant
Stegosaurus,16,,3,63,,,63,0,10,,90,,A5e Monstrous Menagerie,,Beast
Vampiric Vanguard,14,,7,127,,,127,3,13,,383,,Tome of Beasts 3,,Undead
Eonic Drifter,13,,1,65,,,65,2,12,,177,,Tome of Beasts,,Humanoid
Spirit Lamp,17,,7,82,,,82,4,14,,349,,Creature Codex,,Undead
Bannik,13,,2,60,,,60,2,12,,51,,Tome of Beasts 3,,Fey
Echo,15,,6,102,,,102,5,15,,84,,Creature Codex,,Fiend
Cave Bear,12,,2,42,,,42,0,10,,456,,A5e Monstrous Menagerie,,Beast
Slow Storm,19,,15,225,,,225,4,14,,353,,Tome of Beasts,,Elemental
"Illhveli, Kembingur",17,,12,210,,,210,1,11,,211,,Tome of Beasts 2,,Monstrosity
Shadow Fey Poisoner,16,,11,112,,,112,4,14,,148,,Creature Codex,,Humanoid
Alpha Werewolf,12,,6,104,,,104,2,12,,315,,A5e Monstrous Menagerie,,Humanoid
"Ogre, Rockchewer",14,,5,126,,,126,-2,8,,302,,Tome of Beasts 3,,Giant
Goblin Siege Engine,20,,11,178,,,178,0,10,,211,,Tome of Beasts 3,,Construct
Alligator,13,,0.25,11,,,11,0,10,,387,,Tome of Beasts 2,,Beast
Thrummren,17,,12,198,,,198,4,14,,347,,Tome of Beasts 2,,Celestial
Bloodsapper,14,,3,90,,,90,2,12,,44,,Tome of Beasts 2,,Aberration
Skitterhaunt,14,,4,95,,,95,0,10,,352,,Tome of Beasts,,Ooze
Wererat,12,,2,33,,,33,2,12,,209,,5e SRD,,Humanoid
Servant of Yig,12,,4,90,,,90,2,12,,325,,Creature Codex,,Aberration
Hulking Whelp,15,,5,94,,,94,0,10,,252,,Tome of Beasts,,Fey
Div,17,,5,99,,,99,2,12,,135,,Tome of Beasts 3,,Elemental
Dragon Turtle,20,,17,341,,,341,0,10,,119,,5e SRD,,Dragon
Beli,15,,2,45,,,45,3,13,,35,,Tome of Beasts,,Fey
Andrenjinyi,18,,15,228,,,228,3,13,,18,,Tome of Beasts,,Celestial
Blood Zombie,10,,2,51,,,51,-2,8,,282,,Creature Codex,,Undead
Scorpion,11,,0,1,,,1,0,10,,337,,5e SRD,,Beast
Cave Troll,18,,6,84,,,84,1,11,,413,,A5e Monstrous Menagerie,,Giant
Ember Glider,15,,2,44,,,44,3,13,,170,,Tome of Beasts 3,,Monstrosity
Berberoka,16,,7,114,,,114,0,10,,56,,Tome of Beasts 3,,Giant
Frostjack,17,,10,135,,,135,4,14,,189,,Tome of Beasts 3,,Fey
Fell Nightmare,13,,5,93,,,93,2,12,,345,,A5e Monstrous Menagerie,,Fiend
De Ogen,15,,4,45,,,45,5,15,,80,,Tome of Beasts 2,,Undead
Death Butterfly Swarm,15,,4,60,,,60,1,11,,71,,Tome of Beasts,,Beast
Tree Skinner,13,,2,38,,,38,3,13,,351,,Tome of Beasts 2,,Fiend
Virtuoso Lich,17,,12,123,,,123,3,13,Legendary,237,,Tome of Beasts 2,,Undead
Draft Horse,10,,0.25,19,,,19,0,10,,321,,5e SRD,,Beast
Ankou Soul Herald,18,,21,407,,,407,0,10,Legendary,37,,Creature Codex,,Dragon
Bukavac,16,,9,199,,,199,3,13,,47,,Tome of Beasts,,Monstrosity
Dust Mephit,12,,0.5,17,,,17,2,12,,215,,5e SRD,,Elemental
Jubjub Bird,13,,4,91,,,91,1,11,,247,,Tome of Beasts 3,,Beast
Ancient Sapphire Dragon,21,,25,429,,,429,7,17,Legendary,149,,A5e Monstrous Menagerie,,Dragon
Leonino,13,,0.125,13,,,13,3,13,,250,,Creature Codex,,Beast
Swamp Adder,13,,0.25,18,,,18,3,13,,354,,Tome of Beasts,,Beast
Leashed Lesion,15,,3,65,,,65,0,10,,259,,Tome of Beasts 3,,Aberration
Trickster Priest,12,,2,32,,,32,0,10,,488,,A5e Monstrous Menagerie,,Humanoid
Adult Bronze Dragon,19,,15,212,,,212,0,10,Legendary,108,,5e SRD,,Dragon
Giant Poisonous Snake,14,,0.25,11,,,11,4,14,,327,,5e SRD,,Beast
Inkling,12,,0.25,10,,,10,2,12,,227,,Creature Codex,,Construct
Spider Of Leng,15,,7,144,,,144,3,13,,365,,Tome of Beasts,,Aberration
Cyclops,13,,7,126,,,126,0,10,,58,,A5e Monstrous Menagerie,,Giant
Vampiric Knight,20,,11,127,,,127,2,12,,369,,Creature Codex,,Undead
Nariphon,10,,13,195,,,195,-2,8,,285,,Tome of Beasts 3,,Plant
Spawn Of Arbeyach,17,,5,78,,,78,2,12,,97,,Tome of Beasts,,Fiend
Possessed Pillar,14,,7,95,,,95,-1,9,,314,,Tome of Beasts,,Construct
Akkorokamui,17,,12,189,,,189,3,13,Legendary,11,,Tome of Beasts 3,,Celestial
Ankheg Spawn,13,,0.25,11,,,11,1,11,,26,,A5e Monstrous Menagerie,,Monstrosity
Pyrohydra,16,,13,218,,,218,1,11,Legendary,285,,A5e Monstrous Menagerie,,Monstrosity
Fractal Golem,18,,8,8,,,8,1,11,,200,,Creature Codex,,Construct
Zombie,8,,0.25,22,,,22,-2,8,,316,,5e SRD,,Undead
Frost Mole,14,,3,71,,,71,2,12,,390,,Tome of Beasts 2,,Beast
"Alseid, Woad Warrior",14,,2,55,,,55,3,13,,20,,Tome of Beasts 3,,Monstrosity
Satyr,14,,0.5,31,,,31,3,13,,267,,5e SRD,,Fey
Mastiff,12,,0.125,5,,,5,2,12,,332,,5e SRD,,Beast
"Derro, Abysswalker",16,,6,112,,,112,4,14,,113,,Tome of Beasts 3,,Humanoid
Young White Dragon,17,,6,133,,,133,0,10,,101,,5e SRD,,Dragon
Weasel,13,,0,1,,,1,3,13,,340,,5e SRD,,Beast
Noth-norren,14,,13,203,,,203,4,14,,270,,Tome of Beasts 2,,Elemental
Paper Golem,13,,0.25,7,,,7,3,13,,176,,Creature Codex,,Construct
Windy Wailer,14,,5,75,,,75,4,14,,370,,Tome of Beasts 2,,Undead
Terror Bird,12,,2,65,,,65,1,11,,352,,Creature Codex,,Beast
Nkosi War Ostrich,11,,0.5,42,,,42,1,11,,307,,Tome of Beasts,,Beast
"Drake, Shepherd",16,,5,110,,,110,3,13,,156,,Tome of Beasts 3,,Dragon
Lymarien Swarm,14,,5,90,,,90,4,14,,248,,Tome of Beasts 2,,Fey
Primordial Surge,19,,16,232,,,232,6,16,,320,,Tome of Beasts 3,,Elemental
Vines of Nemthyr,15,,8,133,,,133,1,11,,371,,Creature Codex,,Plant
"Rakshasa, Myrmidon",18,,3,51,,,51,2,12,,328,,Tome of Beasts 3,,Fiend
Godslayer,24,,30,580,,,580,2,12,Legendary,211,,Tome of Beasts 3,,Construct
"Ghoul, Darakhul",16,,3,78,,,78,3,13,,216,,Tome of Beasts,,Undead
Ravenfolk Scout,14,,0.5,21,,,21,2,12,,322,,Tome of Beasts,,Humanoid
Swarm of Insects,12,,0.5,22,,,22,1,11,,338,,5e SRD,,Beast
Ychen Bannog,17,,11,231,,,231,0,10,,413,,Tome of Beasts,,Beast
Dread Knight Champion,18,,23,346,,,346,3,13,,185,,A5e Monstrous Menagerie,,Undead
Skeletal Tyrannosaurus Rex,13,,8,126,,,126,0,10,,394,,A5e Monstrous Menagerie,,Undead
Monkey King,21,,21,262,,,262,7,17,Legendary,337,,Creature Codex,,Celestial
Adult Emerald Dragon,18,,17,241,,,241,6,16,Legendary,146,,A5e Monstrous Menagerie,,Dragon
Repository,15,,7,110,,,110,0,10,,306,,Tome of Beasts 2,,Construct
Ahu-Nixta Mechanon,14,,2,51,,,51,1,11,,9,,Tome of Beasts 3,,Construct
Simurg,15,,5,108,,,108,0,10,,339,,Creature Codex,,Celestial
Giant Mantis Shrimp,14,,5,110,,,110,1,11,,198,,Tome of Beasts 3,,Beast
Lion,12,,1,26,,,26,2,12,,331,,5e SRD,,Beast
Fabricator,13,,10,147,,,147,-2,8,,138,,Tome of Beasts 2,,Construct
Ash Phoenix,15,,9,105,,,105,5,15,,28,,Tome of Beasts 2,,Undead
Edimmu,15,,4,75,,,75,4,14,,165,,Tome of Beasts,,Undead
Lou Carcolh,14,,2,78,,,78,2,12,,257,,Creature Codex,,Monstrosity
Gladiator,16,,5,112,,,112,2,12,,346,,5e SRD,,Humanoid
Hooden Horse,14,,6,117,,,117,2,12,,202,,Tome of Beasts 2,,Undead
Corpselight Moth,15,,5,136,,,136,4,14,,95,,Tome of Beasts 3,,Beast
Frost Giant,15,,8,138,,,138,-1,9,,155,,5e SRD,,Giant
"Dinosaur, Thundercall Hadrosaur",16,,11,168,,,168,-1,9,,129,,Tome of Beasts 3,,Monstrosity
Glabrezu,17,,9,157,,,157,2,12,,58,,5e SRD,,Fiend
"Fungi, Mulcher",15,,6,139,,,139,-2,8,,191,,Tome of Beasts 3,,Plant
Awakened Shrub,9,Evil,0,10,,,10,-1,9,,317,Large,5e SRD,20,Plant
Salt Devil,13,,6,93,,,93,1,11,,113,,Tome of Beasts,,Fiend
Red-Banded Line Spider,13,,0.25,2,,,2,3,13,,363,,Tome of Beasts,,Beast
Alligator Turtle,15,,0.25,11,,,11,1,11,,387,,Tome of Beasts 2,,Beast
"Ooze, Sinoper",7,,9,170,,,170,-3,7,,310,,Tome of Beasts 3,,Ooze
Tusked Skyfish,14,,4,102,,,102,1,11,,391,,Tome of Beasts,,Aberration
Swarm of Ravens,12,,0.25,24,,,24,2,12,,339,,5e SRD,,Beast
Adult River Dragon,18,,17,252,,,252,5,15,Legendary,132,,A5e Monstrous Menagerie,,Dragon
"Fungi, Duskwilt",15,,4,97,,,97,4,14,,190,,Tome of Beasts 3,,Plant
Corrupting Ooze,12,,5,115,,,115,0,10,,311,,Tome of Beasts,,Ooze
Kallikantzaros,13,,2,59,,,59,1,11,,233,,Creature Codex,,Fey
Lord Zombie,15,,5,82,,,82,2,12,Legendary,26,,Creature Codex,,Undead
"Angel, Kalkydra",18,,13,189,,,189,2,12,,26,,Tome of Beasts 3,,Celestial
Zeitgeist,14,,6,82,,,82,4,14,,383,,Tome of Beasts 2,,Humanoid
Clockwork Soldier,12,,1,45,,,45,1,11,,65,,Creature Codex,,Construct
Amphibolt,15,,5,85,,,85,4,14,,21,,Tome of Beasts 3,,Monstrosity
Holler Spider,12,,0.25,14,,,14,2,12,,395,,Tome of Beasts 2,,Beast
A-mi-kuk,14,,7,115,,,115,-1,9,,15,,Tome of Beasts 2,,Aberration
Cats of Ulthar,14,,4,55,,,55,4,14,,58,,Creature Codex,,Beast
Mountain Nymph,15,,6,112,,,112,4,14,,261,,Tome of Beasts 2,,Fey
Ley Wanderer,15,,7,136,,,136,-1,9,,260,,Tome of Beasts 3,,Aberration
Glacial Corrupter,15,,1,34,,,34,1,11,,176,,Tome of Beasts 2,,Undead
Aridni,15,,5,82,,,82,5,15,,26,,Tome of Beasts,,Fey
Chamrosh,14,,1,39,,,39,1,11,,59,,Tome of Beasts 2,,Celestial
"Meerkats, Swarm",12,,0.5,22,,,22,2,12,,268,,Tome of Beasts 3,,Beast
Wind Witch,13,,3,66,,,66,3,13,,393,,Tome of Beasts 3,,Plant
Ibexian,15,,6,119,,,119,3,13,,238,,Tome of Beasts 3,,Fiend
Spawn of Rhopalocerex,17,,6,112,,,112,4,14,,92,,Tome of Beasts 2,,Fiend
Shadow Demon,13,,4,45,,,45,3,13,,74,,A5e Monstrous Menagerie,,Fiend
Spree,15,,5,84,,,84,3,13,,91,,Creature Codex,,Fiend
Adult Rime Worm,15,,6,105,,,105,2,12,,327,,Tome of Beasts,,Elemental
Zmey,18,,14,189,,,189,1,11,Legendary,416,,Tome of Beasts,,Dragon
Falsifier Fog,13,,4,52,,,52,3,13,,140,,Tome of Beasts 2,,Undead
HB,,,,0,,,,,22,,,,,,Character
Blood Ooze,8,,6,76,,,76,-2,8,,282,,Creature Codex,,Ooze
Blemmyes,15,,8,168,,,168,1,11,,37,,Tome of Beasts,,Monstrosity
Skin Bat,13,,0.5,14,,,14,3,13,,87,,Tome of Beasts,,Undead
"Dinosaur, Guardian Archaeopteryx",15,,2,36,,,36,2,12,,126,,Tome of Beasts 3,,Beast
